"","Country.Name","Country.Code","Year","Continent","Agricultural.land....of.land.area.","Net.ODA.received....of.GNI.","Access.to.electricity....of.population.","GDP.growth..annual...","GDP.per.capita..current.US..","Mortality.rate..under.5..per.1.000.live.births.","Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","Income.level","Dem.Index","Battle.Deaths","Human.Rights","Hum.Dev","migration_rel"
"287","Estonia","EST",1992,"Europe",32.41330502477,NA,100,NA,NA,17.3,3.6800000667572,"UM",6,0,0.469438002,0.719,-0.0729741417828426
"288","Ethiopia","ETH",1992,"Africa",50.9582198001816,11.1466656777303,NA,-8.67248014788842,204.050205321338,189.9,3.00999999046326,"L",0,86446,-1.415932679,NA,0.028351640594486
"289","Finland","FIN",1992,"Europe",7.90078466134804,NA,100,-3.29466006575714,22319.059460246,6.1,11.6000003814697,"H",10,0,3.187465023,0.784,0.00936594108043012
"290","Finland","FIN",1992,"Europe",7.90078466134804,NA,100,-3.29466006575714,22319.059460246,6.1,11.6000003814697,"H",10,0,3.187465023,0.795,0.00936594108043012
"291","Fiji","FJI",1992,"Oceania",23.8095238095238,4.23412610671885,NA,6.10000190987678,2057.57803286044,26.9,3.85999989509583,"LM",5,0,0.892226058,0.643,-0.0454055172209991
"292","Fiji","FJI",1992,"Oceania",23.8095238095238,4.23412610671885,NA,6.10000190987678,2057.57803286044,26.9,3.85999989509583,"LM",5,0,0.892226058,0.655,-0.0454055172209991
"293","France","FRA",1992,"Europe",55.4897491809207,NA,100,1.59934267687127,23813.7118417151,8.1,10.210000038147,"H",9,0,1.240012457,0.779,0.00207591289063742
"294","France","FRA",1992,"Europe",55.4897491809207,NA,100,1.59934267687127,23813.7118417151,8.1,10.210000038147,"H",9,0,1.240012457,0.798,0.00207591289063742
"295","Micronesia, Fed. Sts.","FSM",1992,"Oceania",32.1428571428571,NA,NA,4.00801603206413,1756.60081468404,54.1,NA,"LM",NA,0,1.233300238,NA,-0.0163923108029471
"296","Gabon","GAB",1992,"Africa",7.83057398998719,1.40840316439177,NA,-3.09014565154393,5578.00517318483,90.1,17.6100006103516,"UM",-4,0,0.052251801,0.62,0.00498614074302374
"297","Gabon","GAB",1992,"Africa",7.83057398998719,1.40840316439177,NA,-3.09014565154393,5578.00517318483,90.1,17.6100006103516,"UM",-4,0,0.052251801,0.624,0.00498614074302374
"298","United Kingdom","GBR",1992,"Europe",74.6910263299301,NA,100,0.401082063847213,20487.1707852878,8.2,9.77999973297119,"H",10,102,0.813940294,0.775,0.00356793271432874
